"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"O K M","KMO",3,2,"M","38 pts",1,2,0,0
"I K Q M O S U W","IKMOQSUW",8,3,"M","17 pts",1,2,0,0
"P N L","LNP",3,2,"N","11 pts",1,2,0,1
"N J L","JLN",3,1,"J","65 pts",1,2,0,0
"R P N T","NPRT",4,2,"P","51 pts",1,2,0,1
"G I K Q O M","GIKMOQ",6,1,"G","15 pts",1,2,0,0
"F H D","DFH",3,1,"D","70 pts",1,2,0,0
"I K M O Q W S U","IKMOQSUW",8,5,"Q","59 pts",1,2,0,1
"M G I K E O Q S U","EGIKMOQSU",9,3,"I","69 pts",1,2,0,1
"O I K M G","GIKMO",5,3,"K","47 pts",1,2,0,0
"M O Q S K","KMOQS",5,2,"M","17 pts",1,2,0,1
"P R N T","NPRT",4,2,"P","25 pts",1,2,0,1
"K Q O M S","KMOQS",5,1,"K","66 pts",1,2,0,0
"H J L T N P R","HJLNPRT",7,1,"H","34 pts",1,2,0,1
"I M O Q K","IKMOQ",5,5,"Q","21 pts",1,2,0,1
"E G M I K O","EGIKMO",6,5,"M","33 pts",1,2,0,1
"H J R L N P","HJLNPR",6,5,"P","73 pts",1,2,0,0
"G I E","EGI",3,2,"G","80 pts",1,2,0,1
"K Q M O S","KMOQS",5,1,"K","55 pts",1,2,0,0
"D F J H L N R P T","DFHJLNPRT",9,4,"J","76 pts",1,2,0,0
"H J F","FHJ",3,1,"F","23 pts",1,2,0,1
"N F H J L","FHJLN",5,4,"L","81 pts",1,2,0,1
"H J P N L","HJLNP",5,3,"L","50 pts",1,2,0,0
"F H J L P R N","FHJLNPR",7,5,"N","71 pts",1,2,0,1
"L J P N R T","JLNPRT",6,4,"P","67 pts",1,2,0,0
"S Q O","OQS",3,2,"Q","13 pts",1,2,0,1
"H J L N P R F T V","FHJLNPRTV",9,6,"P","18 pts",1,2,0,0
"F H P J L N R T V","FHJLNPRTV",9,4,"L","34 pts",1,2,0,1
"G K M O Q I S U W","GIKMOQSUW",9,8,"U","81 pts",1,2,0,1
"I K O M Q U S","IKMOQSU",7,2,"K","38 pts",1,2,0,0
"E I K M O Q G S","EGIKMOQS",8,8,"S","46 pts",1,2,0,1
"O S U Q","OQSU",4,3,"S","14 pts",1,2,0,0
"R N P T","NPRT",4,2,"P","77 pts",1,2,0,1
"G I K E M O","EGIKMO",6,4,"K","43 pts",1,2,0,1
"H F L J N P R","FHJLNPR",7,4,"L","65 pts",1,2,0,0
"Q O M S U W","MOQSUW",6,3,"Q","32 pts",1,2,0,0
"Q S O","OQS",3,2,"Q","27 pts",1,2,0,1
"H F D J L N","DFHJLN",6,1,"D","56 pts",1,2,0,0
"T J L N P R V","JLNPRTV",7,1,"J","53 pts",1,2,0,0
"E O G I K M Q S","EGIKMOQS",8,2,"G","29 pts",1,2,0,1
"G I O K M","GIKMO",5,2,"I","13 pts",1,2,0,0
"U M O Q S","MOQSU",5,5,"U","34 pts",1,2,0,0
"I G E","EGI",3,2,"G","30 pts",1,2,0,0
"G W K M O Q S U I","GIKMOQSUW",9,4,"M","28 pts",1,2,0,0
"F H J P L N R T V","FHJLNPRTV",9,5,"N","51 pts",1,2,0,1
"J L N H P R","HJLNPR",6,4,"N","52 pts",1,2,0,1
"K M O S U Q","KMOQSU",6,3,"O","62 pts",1,2,0,0
"D R H J L N P F T","DFHJLNPRT",9,3,"H","59 pts",1,2,0,0
"N L J","JLN",3,3,"N","82 pts",1,2,0,1
"I K G","GIK",3,3,"K","56 pts",1,2,0,1
"S I K M O Q","IKMOQS",6,5,"Q","49 pts",1,2,0,0
"F H J L N D","DFHJLN",6,3,"H","63 pts",1,2,0,1
"I K M G","GIKM",4,2,"I","89 pts",1,2,0,0
"H J L N R T V P","HJLNPRTV",8,7,"T","55 pts",1,2,0,1
"W O Q S U M","MOQSUW",6,2,"O","31 pts",1,2,0,0
"D J H F","DFHJ",4,2,"F","33 pts",1,2,0,0
"L J N R P T V","JLNPRTV",7,4,"P","37 pts",1,2,0,1
"L F H J","FHJL",4,4,"L","65 pts",1,2,0,1
"Q K M O I S","IKMOQS",6,2,"K","51 pts",1,2,0,0
"H J L N F P R","FHJLNPR",7,5,"N","84 pts",1,2,0,0
"R P N","NPR",3,3,"R","14 pts",1,2,0,1
"F J H L N P T R V","FHJLNPRTV",9,3,"J","17 pts",1,2,0,0
"K M U O Q S","KMOQSU",6,4,"Q","17 pts",1,2,0,1
"J D F H L N P","DFHJLNP",7,3,"H","54 pts",1,2,0,1
"D H J F L N","DFHJLN",6,2,"F","82 pts",1,2,0,1
"F J L H N P R","FHJLNPR",7,5,"N","88 pts",1,2,0,1
"D F L H J N P","DFHJLNP",7,7,"P","29 pts",1,2,0,1
"V F H J L N P R T","FHJLNPRTV",9,2,"H","82 pts",1,2,0,1
"U K M O Q S","KMOQSU",6,3,"O","55 pts",1,2,0,0
"G I K S M O Q","GIKMOQS",7,7,"S","30 pts",1,2,0,0
"G E I K M O Q U S","EGIKMOQSU",9,2,"G","62 pts",1,2,0,1
"K M I O","IKMO",4,1,"I","46 pts",1,2,0,1
"I O M K","IKMO",4,2,"K","15 pts",1,2,0,1
"F H J N P L R T","FHJLNPRT",8,5,"N","71 pts",1,2,0,0
"R L N P","LNPR",4,3,"P","13 pts",1,2,0,1
"G O K M I Q S","GIKMOQS",7,3,"K","45 pts",1,2,0,0
"O M K Q S","KMOQS",5,2,"M","36 pts",1,2,0,1
"P N L R","LNPR",4,4,"R","58 pts",1,2,0,0
"G E I K O M","EGIKMO",6,6,"O","86 pts",1,2,0,1
"D H J L N P F R T","DFHJLNPRT",9,4,"J","43 pts",1,2,0,0
"O U Q S","OQSU",4,1,"O","74 pts",1,2,0,0
"E M I K G","EGIKM",5,4,"K","43 pts",1,2,0,1
"F H J L R P N T V","FHJLNPRTV",9,6,"P","31 pts",1,2,0,1
"K M I O Q","IKMOQ",5,5,"Q","82 pts",1,2,0,1
"M O K Q","KMOQ",4,4,"Q","41 pts",1,2,0,0
"K M O S U Q W","KMOQSUW",7,5,"S","15 pts",1,2,0,1
"E O I K M G Q S","EGIKMOQS",8,7,"Q","22 pts",1,2,0,0
"P L N","LNP",3,3,"P","33 pts",1,2,0,0
"N P L","LNP",3,1,"L","90 pts",1,2,0,0
"K Q M O","KMOQ",4,3,"O","52 pts",1,2,0,1
"G I K M O U Q S","GIKMOQSU",8,6,"Q","84 pts",1,2,0,0
"P H J L N F R T","FHJLNPRT",8,1,"F","11 pts",1,2,0,1
"F H J T L N P R","FHJLNPRT",8,2,"H","45 pts",1,2,0,1
"S O Q","OQS",3,1,"O","17 pts",1,2,0,1
"J L N P R H T V","HJLNPRTV",8,6,"R","61 pts",1,2,0,1
"I E G","EGI",3,2,"G","39 pts",1,2,0,0
"H J T N P R L","HJLNPRT",7,7,"T","85 pts",1,2,0,1
"E Q G I K M O S U","EGIKMOQSU",9,3,"I","63 pts",1,2,0,0
"G E I K M O S Q","EGIKMOQS",8,4,"K","14 pts",1,2,0,0
"L T N P R","LNPRT",5,4,"R","76 pts",1,2,0,0
"G I O M K Q S U","GIKMOQSU",8,6,"Q","15 pts",1,2,0,0
"M K I O Q","IKMOQ",5,3,"M","27 pts",1,2,0,1
"I K O Q S U M W","IKMOQSUW",8,6,"S","28 pts",1,2,0,1
"M Q O U S","MOQSU",5,1,"M","89 pts",1,2,0,0
"I K G M","GIKM",4,2,"I","67 pts",1,2,0,0
"J D F H L N P R","DFHJLNPR",8,6,"N","56 pts",1,2,0,0
