"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"F J L N P R T H V","FHJLNPRTV",9,5,"N","87 pts",1,2,0,0
"H J P L N","HJLNP",5,2,"J","24 pts",1,2,0,1
"P N L R","LNPR",4,4,"R","89 pts",1,2,0,1
"G I K M E O","EGIKMO",6,2,"G","30 pts",1,2,0,1
"F H J L P R N T V","FHJLNPRTV",9,7,"R","24 pts",1,2,0,1
"L J N R P T V","JLNPRTV",7,1,"J","47 pts",1,2,0,1
"I K Q M O S U","IKMOQSU",7,2,"K","67 pts",1,2,0,0
"S I K M O Q G U","GIKMOQSU",8,7,"S","63 pts",1,2,0,1
"I K G","GIK",3,2,"I","25 pts",1,2,0,1
"L P R N","LNPR",4,3,"P","14 pts",1,2,0,0
"I K G M","GIKM",4,1,"G","44 pts",1,2,0,1
"I G E","EGI",3,2,"G","32 pts",1,2,0,1
"H J L N F","FHJLN",5,3,"J","83 pts",1,2,0,1
"O I K M G Q S","GIKMOQS",7,7,"S","21 pts",1,2,0,1
"O U Q S","OQSU",4,3,"S","38 pts",1,2,0,0
"G W I K M O Q S U","GIKMOQSUW",9,8,"U","49 pts",1,2,0,0
"K O M Q U S W","KMOQSUW",7,6,"U","43 pts",1,2,0,1
"E G I K M O U S Q","EGIKMOQSU",9,8,"S","81 pts",1,2,0,0
"K M O Q W U S","KMOQSUW",7,1,"K","64 pts",1,2,0,0
"F H D J","DFHJ",4,4,"J","63 pts",1,2,0,1
"L R P N","LNPR",4,2,"N","39 pts",1,2,0,1
"F H J D L N","DFHJLN",6,4,"J","89 pts",1,2,0,0
