"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"T R P","PRT",3,3,"T","57 pts",1,2,0,1
"G S K M O Q I U W","GIKMOQSUW",9,6,"Q","64 pts",1,2,0,0
"G Q I K M O S U W","GIKMOQSUW",9,6,"Q","75 pts",1,2,0,1
"I G K M O S Q U W","GIKMOQSUW",9,2,"I","88 pts",1,2,0,1
"D F H N L J P","DFHJLNP",7,2,"F","62 pts",1,2,0,0
"I K M O U S Q","IKMOQSU",7,6,"S","43 pts",1,2,0,1
"N F H J L D","DFHJLN",6,6,"N","38 pts",1,2,0,1
"P H J L N","HJLNP",5,1,"H","13 pts",1,2,0,0
"P D F H J L N","DFHJLNP",7,1,"D","30 pts",1,2,0,0
"I M O K Q S","IKMOQS",6,5,"Q","82 pts",1,2,0,0
"M O K Q","KMOQ",4,2,"M","42 pts",1,2,0,1
"F L J H N","FHJLN",5,4,"L","26 pts",1,2,0,0
"I G K O M Q S U","GIKMOQSU",8,3,"K","54 pts",1,2,0,1
"G K I M Q O S U","GIKMOQSU",8,1,"G","20 pts",1,2,0,1
"G I K O M Q U S W","GIKMOQSUW",9,7,"S","57 pts",1,2,0,0
"G I K M O Q W S U","GIKMOQSUW",9,4,"M","26 pts",1,2,0,1
"N J L","JLN",3,1,"J","71 pts",1,2,0,1
"G U K M O Q S I W","GIKMOQSUW",9,7,"S","25 pts",1,2,0,0
"N L J","JLN",3,2,"L","87 pts",1,2,0,1
"G E I K O M Q","EGIKMOQ",7,6,"O","64 pts",1,2,0,0
"F J L H N","FHJLN",5,1,"F","84 pts",1,2,0,1
"U G I K M O Q S","GIKMOQSU",8,8,"U","15 pts",1,2,0,0
"G I K M O Q S U E","EGIKMOQSU",9,2,"G","70 pts",1,2,0,1
"G I M O K Q","GIKMOQ",6,4,"M","32 pts",1,2,0,0
"G M K I O","GIKMO",5,5,"O","46 pts",1,2,0,1
"E I G K M O S Q","EGIKMOQS",8,8,"S","80 pts",1,2,0,0
"J P N L R","JLNPR",5,2,"L","56 pts",1,2,0,0
"Q S O","OQS",3,3,"S","73 pts",1,2,0,1
"I K M Q O U S","IKMOQSU",7,6,"S","66 pts",1,2,0,1
"L N J P","JLNP",4,1,"J","35 pts",1,2,0,0
"L N V R T P","LNPRTV",6,2,"N","14 pts",1,2,0,1
"I K G","GIK",3,3,"K","32 pts",1,2,0,0
"I M O Q S K","IKMOQS",6,5,"Q","34 pts",1,2,0,1
"E I K M G","EGIKM",5,1,"E","64 pts",1,2,0,0
"O I K M G","GIKMO",5,5,"O","66 pts",1,2,0,1
"G E K I","EGIK",4,1,"E","15 pts",1,2,0,1
"G I K M E O Q","EGIKMOQ",7,4,"K","69 pts",1,2,0,0
"I K O M Q U S","IKMOQSU",7,6,"S","11 pts",1,2,0,1
"M G I K E","EGIKM",5,5,"M","75 pts",1,2,0,1
"F L J H N P","FHJLNP",6,1,"F","46 pts",1,2,0,0
"E Q G I K M O S U","EGIKMOQSU",9,9,"U","46 pts",1,2,0,0
"D H J L F","DFHJL",5,2,"F","71 pts",1,2,0,0
"J H L N R P T","HJLNPRT",7,1,"H","18 pts",1,2,0,0
"I K M G O Q","GIKMOQ",6,3,"K","57 pts",1,2,0,1
"J H N L P R","HJLNPR",6,6,"R","16 pts",1,2,0,0
"D F H J N P R L T","DFHJLNPRT",9,3,"H","21 pts",1,2,0,1
"G I K S O Q M U W","GIKMOQSUW",9,1,"G","27 pts",1,2,0,1
"J L N H","HJLN",4,4,"N","60 pts",1,2,0,1
"L D F H J N P","DFHJLNP",7,2,"F","61 pts",1,2,0,1
"E G M K I O Q","EGIKMOQ",7,3,"I","20 pts",1,2,0,0
"J F H","FHJ",3,3,"J","42 pts",1,2,0,0
"H J L N P F R","FHJLNPR",7,5,"N","82 pts",1,2,0,1
"G E I K M Q O S U","EGIKMOQSU",9,6,"O","45 pts",1,2,0,0
"D F H J L P R T N","DFHJLNPRT",9,8,"R","52 pts",1,2,0,1
"O K M Q S","KMOQS",5,1,"K","68 pts",1,2,0,1
"J T L N P R V","JLNPRTV",7,2,"L","29 pts",1,2,0,1
"L P N T R","LNPRT",5,1,"L","45 pts",1,2,0,1
"H F D J","DFHJ",4,2,"F","24 pts",1,2,0,1
"I G K M O Q U S W","GIKMOQSUW",9,5,"O","10 pts",1,2,0,1
"G M I K O Q S U","GIKMOQSU",8,3,"K","30 pts",1,2,0,1
"J H F L N","FHJLN",5,4,"L","18 pts",1,2,0,0
"H F J N L P","FHJLNP",6,6,"P","10 pts",1,2,0,0
"R J L N P","JLNPR",5,1,"J","17 pts",1,2,0,0
"D H J L N P F","DFHJLNP",7,2,"F","49 pts",1,2,0,1
"D R F H J L N P T","DFHJLNPRT",9,7,"P","32 pts",1,2,0,0
"I K M O W S U Q","IKMOQSUW",8,6,"S","52 pts",1,2,0,0
"K M I","IKM",3,2,"K","24 pts",1,2,0,0
"K I M Q O","IKMOQ",5,3,"M","50 pts",1,2,0,1
"D F J H L P N R T","DFHJLNPRT",9,7,"P","47 pts",1,2,0,0
"P H J L N R T","HJLNPRT",7,1,"H","58 pts",1,2,0,1
"R N P","NPR",3,3,"R","51 pts",1,2,0,0
"D F P J L N H","DFHJLNP",7,1,"D","25 pts",1,2,0,1
"P F H J L N D R T","DFHJLNPRT",9,2,"F","84 pts",1,2,0,0
