"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"N P L","LNP",3,1,"L","45 pts",1,2,0,0
"G I K E M O Q S","EGIKMOQS",8,5,"M","33 pts",1,2,0,0
"F T J L N P R H V","FHJLNPRTV",9,8,"T","83 pts",1,2,0,1
"K M O Q S I","IKMOQS",6,3,"M","54 pts",1,2,0,1
"G K I O M Q S U W","GIKMOQSUW",9,4,"M","89 pts",1,2,0,1
"S Q O","OQS",3,2,"Q","19 pts",1,2,0,1
"E G I Q M O K S U","EGIKMOQSU",9,5,"M","19 pts",1,2,0,0
"H L J N P T R","HJLNPRT",7,5,"P","62 pts",1,2,0,0
"H P J L N R","HJLNPR",6,6,"R","48 pts",1,2,0,1
"J P N L R","JLNPR",5,5,"R","30 pts",1,2,0,0
"P L N R","LNPR",4,1,"L","79 pts",1,2,0,1
"N L R P T","LNPRT",5,1,"L","25 pts",1,2,0,1
"H F L J","FHJL",4,4,"L","88 pts",1,2,0,0
"F H J L R P N","FHJLNPR",7,2,"H","18 pts",1,2,0,1
"E G I K O Q M","EGIKMOQ",7,5,"M","47 pts",1,2,0,0
"O K M I Q S U W","IKMOQSUW",8,8,"W","35 pts",1,2,0,0
"I O K M Q","IKMOQ",5,4,"O","27 pts",1,2,0,1
"I K O Q M S U","IKMOQSU",7,5,"Q","41 pts",1,2,0,1
"G K I O M Q","GIKMOQ",6,3,"K","45 pts",1,2,0,1
"I K M S O Q","IKMOQS",6,4,"O","56 pts",1,2,0,0
"D H J F","DFHJ",4,4,"J","44 pts",1,2,0,0
"K M I O Q S U","IKMOQSU",7,3,"M","24 pts",1,2,0,1
"Q M O","MOQ",3,1,"M","74 pts",1,2,0,1
"H J L P N R V T","HJLNPRTV",8,6,"R","72 pts",1,2,0,0
"J H N L","HJLN",4,2,"J","63 pts",1,2,0,0
"D F J L N P R T H","DFHJLNPRT",9,1,"D","48 pts",1,2,0,1
"E K I G M O Q S U","EGIKMOQSU",9,9,"U","73 pts",1,2,0,0
"L D F H J","DFHJL",5,2,"F","14 pts",1,2,0,1
"N H J L","HJLN",4,2,"J","57 pts",1,2,0,0
"I E G","EGI",3,3,"I","44 pts",1,2,0,0
"H J P N L R T V","HJLNPRTV",8,3,"L","44 pts",1,2,0,0
"I K M G","GIKM",4,2,"I","84 pts",1,2,0,0
"P F H J L N R","FHJLNPR",7,5,"N","39 pts",1,2,0,0
"E G I U M O Q S K","EGIKMOQSU",9,9,"U","88 pts",1,2,0,0
"K M O Q S I U W","IKMOQSUW",8,6,"S","73 pts",1,2,0,1
"H F J N L","FHJLN",5,4,"L","59 pts",1,2,0,1
"Q K M O","KMOQ",4,3,"O","27 pts",1,2,0,0
"O G I K M Q S","GIKMOQS",7,6,"Q","28 pts",1,2,0,0
"L H J F N P R","FHJLNPR",7,1,"F","32 pts",1,2,0,0
"T R P","PRT",3,2,"R","53 pts",1,2,0,0
"L R N P","LNPR",4,1,"L","70 pts",1,2,0,1
"F H J P L N R","FHJLNPR",7,2,"H","89 pts",1,2,0,0
"J L T N P R","JLNPRT",6,6,"T","55 pts",1,2,0,0
"U I K M O Q S W","IKMOQSUW",8,6,"S","79 pts",1,2,0,1
"G E K I M O","EGIKMO",6,3,"I","70 pts",1,2,0,0
"D F H N J L P","DFHJLNP",7,6,"N","14 pts",1,2,0,0
"O S U Q","OQSU",4,3,"S","31 pts",1,2,0,1
"I E G K M O Q S","EGIKMOQS",8,1,"E","13 pts",1,2,0,1
"J H F L","FHJL",4,1,"F","68 pts",1,2,0,1
"K I G","GIK",3,3,"K","36 pts",1,2,0,0
"M O K","KMO",3,1,"K","40 pts",1,2,0,0
"L P R N","LNPR",4,1,"L","16 pts",1,2,0,1
"M U Q S O W","MOQSUW",6,5,"U","43 pts",1,2,0,1
"E G I M O K Q S U","EGIKMOQSU",9,6,"O","25 pts",1,2,0,0
"I M O K","IKMO",4,2,"K","34 pts",1,2,0,1
"K G I E M O Q S","EGIKMOQS",8,3,"I","51 pts",1,2,0,1
"E I K M O G","EGIKMO",6,4,"K","78 pts",1,2,0,0
"D F H L N J","DFHJLN",6,2,"F","34 pts",1,2,0,0
"G I K W M O Q S U","GIKMOQSUW",9,1,"G","23 pts",1,2,0,0
"L N J P R T V","JLNPRTV",7,6,"T","34 pts",1,2,0,1
"K G I M O Q S U","GIKMOQSU",8,8,"U","66 pts",1,2,0,0
"G I K M O Q S E","EGIKMOQS",8,1,"E","50 pts",1,2,0,0
"F P J L N H","FHJLNP",6,1,"F","81 pts",1,2,0,0
"G K M I","GIKM",4,2,"I","28 pts",1,2,0,1
"U Q S","QSU",3,3,"U","23 pts",1,2,0,1
"L V P R T N","LNPRTV",6,5,"T","74 pts",1,2,0,1
"N H J L F","FHJLN",5,5,"N","68 pts",1,2,0,0
"F R H J L N P T","FHJLNPRT",8,8,"T","19 pts",1,2,0,1
"H J F","FHJ",3,3,"J","28 pts",1,2,0,1
"F H J N L R P T V","FHJLNPRTV",9,2,"H","66 pts",1,2,0,1
"I G M K O","GIKMO",5,1,"G","37 pts",1,2,0,0
"H J L P N T R","HJLNPRT",7,6,"R","77 pts",1,2,0,0
"K M S Q O U","KMOQSU",6,6,"U","68 pts",1,2,0,0
"J F H L N","FHJLN",5,4,"L","42 pts",1,2,0,0
"I K M Q S O","IKMOQS",6,5,"Q","52 pts",1,2,0,1
"Q O M","MOQ",3,3,"Q","82 pts",1,2,0,1
