"list_og","list_sort","N","cor_pos","target_letter","fb_yn"
"M O U S Q","MOQSU",5,2,"O",0
"G E I K M O S Q","EGIKMOQS",8,5,"M",0
"P N L R","LNPR",4,2,"N",0
"Q M O S U","MOQSU",5,1,"M",0
"F H N J L P R T V","FHJLNPRTV",9,8,"T",0
"K I G M O Q S","GIKMOQS",7,3,"K",0
"M O K","KMO",3,1,"K",0
"H F D","DFH",3,1,"D",0
"K M I","IKM",3,1,"I",0
"N L P T R","LNPRT",5,1,"L",0
"E K I G","EGIK",4,1,"E",0
"G I K O M Q U S W","GIKMOQSUW",9,1,"G",0
"H F L J","FHJL",4,3,"J",0
"R N P L T V","LNPRTV",6,1,"L",0
"D F H J R N P L T","DFHJLNPRT",9,3,"H",0
"P H J L N F R T V","FHJLNPRTV",9,7,"R",0
"J L H N P R","HJLNPR",6,3,"L",0
"K I O M","IKMO",4,2,"K",0
"K I M O Q S W U","IKMOQSUW",8,6,"S",0
"R T P","PRT",3,3,"T",0
"O M Q U S","MOQSU",5,2,"O",0
"G O K M I Q","GIKMOQ",6,5,"O",1
"G I K M O Q S U E","EGIKMOQSU",9,2,"G",0
"S G I K M O Q U W","GIKMOQSUW",9,4,"M",0
"L N R T P V","LNPRTV",6,6,"V",0
"E G O I K M","EGIKMO",6,4,"K",0
"G I K M O Q E S U","EGIKMOQSU",9,7,"Q",0
"O M Q S W U","MOQSUW",6,1,"M",0
"L F H J N","FHJLN",5,2,"H",0
"I K M O G Q","GIKMOQ",6,2,"I",0
"H J L P R N T V","HJLNPRTV",8,1,"H",0
"K G I","GIK",3,2,"I",0
"Q M O","MOQ",3,1,"M",0
"I K G","GIK",3,2,"I",0
"O Q M S","MOQS",4,1,"M",0
"G K I M Q O","GIKMOQ",6,5,"O",0
"H F D J","DFHJ",4,4,"J",0
"I G M K O","GIKMO",5,4,"M",0
"G I K E M O Q S U","EGIKMOQSU",9,9,"U",0
"E O G I K M Q S U","EGIKMOQSU",9,3,"I",0
"G I K M S O Q","GIKMOQS",7,7,"S",0
"K O M Q U S W","KMOQSUW",7,6,"U",0
"F H L N J P R T","FHJLNPRT",8,2,"H",0
"F L J H N","FHJLN",5,2,"H",0
"G I K W M O Q S U","GIKMOQSUW",9,2,"I",0
"D N F H J L P R","DFHJLNPR",8,1,"D",0
"K E G I M O Q S","EGIKMOQS",8,7,"Q",0
"K M S Q O U","KMOQSU",6,3,"O",0
"Q G I K M O","GIKMOQ",6,3,"K",0
"E G K M O Q S I","EGIKMOQS",8,5,"M",0
"D F L J H","DFHJL",5,5,"L",0
"I K O Q S M U","IKMOQSU",7,7,"U",0
"D F H T J L N P R","DFHJLNPRT",9,1,"D",0
"L T N P R","LNPRT",5,1,"L",0
"G E I K M Q O S","EGIKMOQS",8,2,"G",0
"J F H D L","DFHJL",5,4,"J",0
"D F H J L P N T R","DFHJLNPRT",9,8,"R",0
"M I K","IKM",3,2,"K",0
"K O Q M S","KMOQS",5,1,"K",0
"O I K M G Q S U W","GIKMOQSUW",9,6,"Q",0
"D L F H J N P R T","DFHJLNPRT",9,6,"N",0
"K O M S Q","KMOQS",5,3,"O",0
"H F D J L","DFHJL",5,5,"L",0
"O K M","KMO",3,1,"K",0
"S Q O","OQS",3,1,"O",0
"P R N T","NPRT",4,3,"R",0
"J N L R P T","JLNPRT",6,1,"J",1
"K I G","GIK",3,2,"I",0
"I K U O Q S M W","IKMOQSUW",8,8,"W",0
"M I K G O Q S","GIKMOQS",7,1,"G",0
"D F H J L P R N T","DFHJLNPRT",9,2,"F",0
"I M O Q S K U","IKMOQSU",7,5,"Q",0
"J H F L N P R T V","FHJLNPRTV",9,6,"P",0
"H J L F N","FHJLN",5,3,"J",0
"I G K M O S Q U","GIKMOQSU",8,8,"U",0
"L N P R T J","JLNPRT",6,1,"J",0
"D F H L J N P T R","DFHJLNPRT",9,1,"D",0
"I K M Q S O U","IKMOQSU",7,3,"M",0
"L R N P T","LNPRT",5,3,"P",0
"G I E K M O Q","EGIKMOQ",7,7,"Q",0
"K O M Q U S","KMOQSU",6,1,"K",0
"K M O Q S U W I","IKMOQSUW",8,3,"M",0
"O Q M","MOQ",3,2,"O",0
"J L N P R T H","HJLNPRT",7,5,"P",0
"K I O M Q S","IKMOQS",6,5,"Q",0
"H J L F","FHJL",4,2,"H",0
"E U G I K M O Q S","EGIKMOQSU",9,4,"K",0
"N P R L","LNPR",4,3,"P",0
"L J H","HJL",3,2,"J",0
"N P L R","LNPR",4,1,"L",0
"J L R N P","JLNPR",5,1,"J",0
"I K G M O","GIKMO",5,5,"O",1
"J L N P H","HJLNP",5,4,"N",0
"G I M O Q K S U W","GIKMOQSUW",9,8,"U",0
"F H D J L N","DFHJLN",6,4,"J",0
"P L N J","JLNP",4,1,"J",0
"R N P","NPR",3,1,"N",0
"F H D J L N P","DFHJLNP",7,7,"P",0
"I E G","EGI",3,3,"I",0
"P N L","LNP",3,2,"N",0
"N D F H J L","DFHJLN",6,5,"L",0
"F H D J","DFHJ",4,2,"F",0
"I K M Q O S W U","IKMOQSUW",8,5,"Q",0
"M G I K E","EGIKM",5,3,"I",0
"L R N P","LNPR",4,1,"L",0
"D R F H J L N P","DFHJLNPR",8,4,"J",0
"T J L N P R H","HJLNPRT",7,7,"T",0
"N L J","JLN",3,3,"N",0
"J L N P R H","HJLNPR",6,4,"N",0
"O Q S M","MOQS",4,1,"M",0
"I G E","EGI",3,2,"G",0
"M K I","IKM",3,2,"K",1
